"date,user,Comment",user,Comment
18:27,miliko ahmed,ትክክል  አብዛኛው  ኦሮሞ ኢትዮጵያ  ሆኖ አያውቅም  ከተወሰኑ በስተቀር  እንደ ኦሮሞ አረመኔ እንደ ኦሮሞ ስልጣን ተሰጦት ስልጣኑን  ለአረመኔነት የተጠቀመበት የለም፡፡ በአለም ላይ ይሄ ሀቅ ነው ኦሮሞ  4 ኪሎ ገብቶ አልቃሻ ገዳይ  ያ የተፈናቀለው ሰው ተመልሶ የማይመጣ መስሏቸው እልልል ይላሉ  ያ የገደልከው ያፈናቀልከው ተመልሶ ይመጣል፡፡ አንድ ኦሮሞ ስልጣን ይዘን   ግን አረመኔ ሆነናል  ለልጆቻችን  ከፉ ጊዜ ይመጣል  ብሎ ተናግሯል  ትክክል  ነው ያለው፡፡
18:34,Behailu Bayu,ምነው ቀፎው ውጪና ሀገር ውስጥ ያሉ ፋኖዎች 4 ኪሎን እንቆጣጠራን፣ ኦሮሞነትን እንደመስሳለን ብለው በየሚድያው ስጮሁ እኮ ኦሮሞ ከቁብ አልቆጠረም ልበሙሉ ነበርና።ግን ለዚህ ሁሉ የ6 አመት ቀረርቶ አንድ የኦሮሞ አርቲስት መልስ ስሰጥ ቅዘነ ቅዘን አላችሁሳ ነገር ግን ዮኒ አህያ ነገሮችን ማመዛዘን የማያውቅ ጠባብ አይምሮ ያለው ደደብ መሆኑን በተለያየ ግዜያት በምናገራቸው ነገሮች ተረድቻለሁ።
18:36,Teka Hailu : áŠ áˆáŠ•  $ðŸ‘‰ áŠ á‰¥á‹­ $ðŸ‘¹ á‹«áˆµá‰¸áŒˆáˆ¨á‹‰ $ðŸ‘‰ áŒŒá‰³á‰¸á‹‰ $â™¥ áˆ¨á‹³ áŠá‹ $âœ… áˆµáˆˆáˆ†áŠáˆ á‰ á‰°áˆˆá‹«á‹¨ áˆ˜áŠ•áŒˆá‹µ áˆˆáˆ˜á‰ áŒ¥á‰ áŒ¥ á‹­áˆžáŠ­áˆ«áˆ $ðŸ¤·â€â™‚ á‰ á‹‰áˆµáŒ¥áˆ á‰ á‹‰áŒ­áˆ..áŒŒá‰³á‰¸á‹‰ á‹°áŒáˆž áŠ áˆ«á‹³áŠ“ á‹ˆáŒ£á‰µ áŠá‹.áˆáˆŒ á‰ á‹µá•áˆŽáˆ›áˆµ áŠá‹‰ á‹¨áˆáŠ“áŒˆáˆ¨á‹‰,ዮናስ ሴጋው የናትህን ለቦጭ ጥረግላት ማናባህ ሰጠን በደጃችን አንተ ቅናታም ታነቅ ወላዋይ ወረኛ 10 ምላስ ነህ ቅዠታም
18:37,Abraham Chemo,በቁሙ የሞተ ነው፡፡
18:38,Feyisa Nigussie,ወሸላም አንተን ብሎ ኢትዮጵያዊ አንተ ነህ ስለ ኦሮሞ የምታወራ ወደድክም ጠላህ ደጃፋ ጋ አትደርሱም ፋይሉ ተዘግቶ በጀግናው ህዝብ ዘንድ ገብተዋል እውነትም ነው አርትስቱ የዘፈነው ቢመርህም ዋጠው የእስስት ልጅ 
18:41,gech ali : some body made history:,አኪል ዳማ የደም ምድር ስድስት አመት ሙሉ በአብይ አህመድ ዘመን፡፡
18:41,daniel debo,አሁን   ያለበት   ሁኔታ   በስኳር   በሽታ ፣   ኩላሊቱ   ተበላሽቶ   ለመሰናበት   ቀኑን   የሚጠብቅ   ጥቂት   ትርፍራፊ   ብቻ  ነው   የቀረው   ።
18:57,Ethiopian,ያስፈጁት  ጥጋብ   የነፋቸው   የህወሀት   አባላት   ናቸውና  ፣  መከላከያ   ምክንያት   አይሆንም  ፣  በሰላማዊ   ሰዎች  ላይ   የዘነበባቸውን   የድሮን   ጭፍጨፋን  ግን  
19:03,Daffy Duck,ምን አገባህ አንተ ቆማጣ ቅማላም ጥንብ ሽማግሌ ኦሮሚያ እወዳታለሁ ራስክ ንፍጣም አዲስ አበባ ማለት ኦሮምያ ክልል፣ አገጭ ብላ ሆሲፒታል እንሰራም አትታከሙም በሽተኞች አማራ ውረዱ የኦሮሞን ልብስ ለብሰህ አትሳደብ እከክ አለ ዮኒ ማኛ ይቀጥላል፡፡
19:11,áˆ™áˆ´( MUSE) Multimedia,ይህ ላምፓን ሎምቦጫም ልሀጩን ማንዘፍዘፍ የሚያቆመው መቼ ይሆን
1.7072E+15,N/A,አስገድደው ልጆቹን በመድፈር የሚንቀሳቀሱ ግለሰቦች ላይ ዝም ብሎ ሊታይ አይገባም ብዙ ህፃናቶች ከፍተኛ ስነልቦናዊ ጉዳት እየደረሰባችው ይገኛሉ በየቤቱ የሚያለቅሱ እናቶች ቁጥር ከቀን ወደ ቀን እየጨመረ መጥቷል ስለዚህ ፍትህ ያስፈልጋል
19:30,Ovmcvyv Asxfgjc,ሙስና የሀር ሀብት ነቀርሳ የኢትዮጲያ ካንሰር ነው
20:03,Ssnakech Girma,ፋኖ ምንም የፖለቲካ ግብ የሌለው ነገር ግን የግል ፍላጎቱን ለማርካት ወዳ ጫካ የገባ የሚሰርቅ፤ የሚዘርፍ፤ የሚያግት አምስትም ስድስትም ሆኖ የሚቀሳቀስ ሀይል ነው። ይህ ሀይል በህብረተሰብ ላይ ከፍተኛ ጉዳት እያደረሰ ይገኛል።
20:18,gashaw teshome, ፋኖ የብልፅግና ፋኖ ነው። ይህ ሀይል በብልፅግና ቀጥተኛ እና ምስጢራዊ ድጋፍ በግልም በቡድንም ወደ ፋኖ ሀይሎች ሰርጎ በመግባት ልዩነትን የሚዘራ፣ ጥላቻን የሚያስፋፋ፣ አለመተማመንን የሚያሰፍን ከተራ የፋኖ አባልነት በተወሰነ ደረጃ እስከ አመራርነት የተሰገሰገ ጊዜና ቦታ እየጠበቀ የህዝብ ልጆችን በድብቅ እያስመታ የህልውና ትግሉን የሚጎትት ከብልፅግና ግልፅ ተልኮ የተቀበለ ሀይል ነው። ይህ ሀይል በጫካ ብቻ ሳይሆን በከተማና ከሀገር ውጪ በስፋት በመሰማራት ጭምር በዲያስፖራው የአማራ ህልውና ትግል ደጋፊ ህብረተሰብ ላይ አለመተማመን፣ ጥላቻ፣ ልዩነት፣ ከፋፋይ አጀንዳ በመፍጠር አንዱን በመደገፍ ሌላውን በመንቁፍ ትግሉን የሚረብሽ ስብስብ ነው። ይህ ሀይል እጅግ አደገኛ ነው። በቂ ፋይናስ ሚዲያና ታዋቂ ግለሰቦችን ያካተተ በመሆኑ ትግሉን አፈር ከድሜ ለማስገባት ብልፅግና በደንብ እየተጠቀመበት ነው።
20:20,gech ali,ጥላቻ ለማንም አይጠቅምም ውድመትን ያመጣል ፍቅር ግን ሀይል አለሁ ድል ያደርጋል ያሸንፋል
20:44,Teka Hailu,ምነው ቀፎው ውጪና ሀገር ውስጥ ያሉ ፋኖዎች አራት ኪሎን እንቆጣጠራን፣ኦሮሞነትን እንደመስሳለን ብለው በየሚድያው ስጮሁ እኮ እሮሞ ከቁብ አልቆጠረም ልበሙሉ ነበርና። ግን ለዝህ ሁሉ የስድስት አመት ቀረርቶ አንድ የኦሮሞ አርቲስት መልስ ስሰጥ ቅዘነ ቅዘን አላችሁሳ ነገር ግን ዮኒ አህያ ነገሮችን ማመዛዘን የማያውቅ ጠባብ ጭንቅላት የሆነ  ደደብ መሆኑን በተለያየ ግዜያት በምናገራቸው ነገሮች ተረድቻለሁ።
21:05,Rahael Yhdego,አቶ አህያዉ ዮኒ ረጋ በል እንጂ ወላጆችህኮ አንጄታቸዉ በረሀብ ጠኔ ጠዉልጎ ፍርፋሪ ፍለጋ ወደ ኦሮሞ አገር መጡና እዚሁ ስለቀሩ ባለቤት ሆኑ ማለት አይደለም ከጎጃምና ጎንደር የመጡ ወፍ ዘራሽ ሁላ አንድ በአንድ እየተለቀሙ ወደመጡበት ይመለሳሉ አሁን ጊዜዉ የኦሮሚያና የኦነግ የነፃነት ጮራ ፈንጥቋል 
21:11,Feyisa Nigussie,አንተ ቅዘናም የሴት ልጅ የሸርሙጣ ልጅ ፖለቲከኛ ነኝ ብለህ ታወራለህ።
21:16,Abraha Gebrekiros,ሰውን በመድፈር ደስታችውን የማፈፅሙ ግለሰቦች ሰባዊነት የሚጐላችው የአውሬነት ባህሪን የተላበሱ ናቸው
21:47,gech ali,በሀገራችን ወደ ሌላ ሀገር የሚሰደዱ ወጣቶች ፍልሰት ቁጥር ከቀን ወደቀን እየጨመረ መጣ
22:02,Hanna Tamrat,በጦርነት ምክንያት ብዙ ሀብታችውን ወላጆቻቸውን ያጡ ማህበረሰብ ማንም ጣሪ ቀባሪ እንደሌላችው በመግለፅ በረሀብ እየተሰቃዩ የሚጠለሉበት ቤት እንዳጡ መግለጭ ሰጡ
22:03,Behailu Bayu,በጦርነቱ ምክንያት በቢሊዮን የሚቆጠር የሀገሪቱ ሀብት ወደመ
22:09,Yimam Welloyew,በጦርነት ምክንያት በህክምና ላይ ያሉ ህመማን በቂ ህክምናና መድሀኒት ባለማግኘታችው የሞት ቁርጥ ከቀን ወደ ቀን እየጨመረ መጣ
22:21,tesfaye simachew,በጦርነቱ ምክንያት የተደፈሩ ሴቶች የጤንነትና የስነ ልቦና ችግር በከፍተኛ ደረጃ ደረሰባችው
22:39,Feyisa Nigussie,ከቀን ወደ ቀን በጐዳና ላይ የሚወጣ ቁጥር እየጨመረ መጣ ምክንያቱ ግን በውል ሊታወቅ አልቻለም
22:41,áŠ á‰¥á‰¹,በአቃቂ ቃሊቲ የሚኖሩ ኗሪ አቶ ከበደ በተባሉ ከቀኑ አራት ሰአት ላይ አሰቃቂ ግድያ ተካየደባችው ይህን ድርጊት የፈፀሙት ግለሰቦም ማምለጣችው ተሰማ
22:42,Kukusha Teshome, ተራ ያልተማረ ደደብ ፋሽስት ያንተው ቅል ራስ መለስ መሆኑን አለማወቅህ ያሳዝናል
22:52,Daffy Duck,ዋው በእውነት ስል እንዴት እንዳስለቀስከኝ ውይ እግዚአብሄር ያጠብቃችሁ፡፡
22:58,elias hade,ዋው አስተማሪ ነው ቀለበት መንገድ ላይና ያለፈ ህይወት ወደኋላ አይዞርም፡፡
23:02,7Star á‹¨áŠ á‰¥á‹­ áŠ«á‹µáˆ¬,ዋው ከአስር ጊዜ በላይ ነው ደጋግሜ አየሁት ግን አልጠገብኩም ከምር በጣም አሪፍ ፊልም ብቻ አይገልፀውም ይመቻችሁ አቦ!!
1.7072E+15,N/A,ዋው ይመቻል፡፡
23:03,Tezera Getahun,በውጭ ያሉ የሀበሻ ልጆች ውበት እንዴት በጣም ውብ ነው የቆዳ ቀለማችው ከየትኛውመ አገር ጋር ሲወዳደር ልዩ ነው ዋው!
23:13,Ù…Ø­Ù…Ø¯,ዋዉ እንዴት ደስስ ይላል በቃ ምርጥ ፊልም ስራነዉ፡፡
23:29,áŠ á‰¥á‰¹,ዋው ደስ ስትሉ ፈጣሪ እንደዚህ ይግጠመን አቦ ከስደት መልስ፡፡
23:31,Teka Hailu,ዋው ዛሬ ፀዳብን ስጠብቀው የነበረው ምርጥ ፊልም፡፡
23:32,gech ali,መደመጥ ያለበት የአብይ ኢንሳ የተናገረው መልእክት ድንቅ ንግግር ነው፡፡
23:40,hezkiel taddesse,እረ ኮረና በጣም እየጨመረ ነው፡፡ ስለዚህ አዲሱም ቫይረስ በደንብ እንደገባ አመልካች በመሆኑ ጠበቅ ያል ቁጥጥር ያስፈልጋል ዋጋ እንዳያስከፍለን መጪው በአል በመሆኑ ሰው የሚበዛባቸውን የገበያ ስፍራዎች፣ መዝናኛዎችን፣ በየመንደሩ ያሉ ጫት ማስቃሚያዎችን፤ የህዝብ አውቶብስ ታክሲ እና የመሳሰሉትን ጥብቅ ቁጥጥር ሊደረግ ይገባል፡፡ የየቀኑን የኮቪድ መረጃ መልቀቅ ብቻ ሳይሆን ቁጥጥሩን ማጥበቅ ሊታሰብበት ይገባል፡፡
24:14:00,Feyisa Nigussie,በመቀሌ ከተማ ቤታችው የጥይት መሳሪያ ቤታችው አስቀምጠው እርስ የሚያፋጩ መሳሪያው በመነጠቃቸው ሀገሪቱን ከጦርነት መታደግ መቻሉ እጅግ አስደሳች ነው፡፡
24:16:00,á‹¨áˆ²áˆ³á‹­ áŠ áŒŒáŠ“ áŠ á‹µáˆ›áŒ­,በነገራችን ላይ በጣም እናመሰግናለን ሙስሊሙን አንድ እና ጠንካሮች ስላደረጋችሁን፡፡
24:27:00,Saba Abduraman,የኔ ቀደምት ነብር ታጋይ እኮ ነህ፡፡
24:40:00,Teka Hailu,አትሌት ኃይሌ በጣም ጠቃሚ ነገሮችን በሃገራችን እየሰራ ነው እጅግ ሊደነቅ ይገባል!
24:43:00,alemayehu zeberga,እጅግ በጣም የሚስደስት ነው በእውነት ቡዙዎች መነፅራቸውን ብያስተካክሉ መልካም ነው፡፡
24:58:00,Feyisa Nigussie,ኮረና ቫይረስ በጣም እየጨመረ ነውና እንጠንቀቅ
25:03:00,Konjit Geremew,በመተከል ንፁሀን ወገኖቻችን እየተፈፀመ ያለውና በመተከል ንፁህን ወገኖቻችን ላይ በአስቸኳይ ሊቆም ይገባል፡፡
25:20:00,Rahael Yhdego,ጉድ ነው ሞት እየጨመረ ነው እንጠንቀቅ
25:20:00,Teka Hailu,ኧረ ጉድ አጅሬው ኮረና በቀኑ ሰው እየቀጠፈ ነውና ከትላትቱ በበለጠ ወገን ጠንቀቅ በሉ፡፡
25:21:00,Muna Muna,ዘረኝነትን በጋራ እንከላከል ዘረኝነት መከላከል የሚጀምረው ለዘረኛ አስተሳሰብ እና ድርጊቶች ዘረኛ ምላሽን ባለመስጠት መሆን አለበት፡፡
25:31:00,á‹¨áˆ²áˆ³á‹­ áŠ áŒŒáŠ“ áŠ á‹µáˆ›áŒ­,እንዴት ነው ነገሩ ብዙ ሰው ታሞ ቤቱ ውስጥ ለነፍሱ እየታገለ ነው ያለው ጤና ጣቢያ ሲሄድ እራስህን አግልል ይባላል ወዴት ነው እራሱን የሚያገለው እስቲ ስንቶቻችን ነን ሁለት ክፍል ቤት ያለን ለምን እንደድሮ ትኩረት አይሰጠውም
25:43:00,Hanna Tamrat,በጣም ከባድ ነዉ ጥንቃቄ መዉሰዳችን ግድ ይለናል፡፡
25:52:00,Hanna Tamrat,የቁጠባ ልምድ ማዳበር እጅግ በጣም አሪም ነው ምክንያቱም ከትንሽ ተነስተን ለማደግ መሰረቱ ይህ ስለሆነ፡፡
25:53:00,The Hope,በየቀኑ መርዶ ማርዳት አይጠቅምም አስገዳጅ የጥንቃቄ ህጎች መግስት ተከታትሎ ማስፈፅም አለበት፡፡
26:13:00,Behailu Bayu,ጠቅላይ ሚኒስትር ዐቢይ አሕመድ ቦረና ዞን ያቤሎ ከተማ ገብተዋል ጠቅላይ ሚኒስትሩ ያቤሎ ሲደርሱ የአካባቢው የሀገር ሽማግሌዎችና ነዋሪዎች ደማቅ አቀባበል አድርገውላቸዋል፡፡ 
26:13:00,Feyisa Nigussie,በሀገራዊ የሳይበር ደህንነት ዙሪያ ለቋሚ ኮሚቴ አባላት ሥልጠና መሰጠቱ በጣም አሪፍ ነው፡፡ 
26:29:00,Meles W/Mikael,እጅግ ያማረ የመስፍን ወንድወሰን ግጥም አለ አዳምጡት ጋብዣችዋለሁ ዩቱብ ላይ በስሙ ታገኙላችሙ ውዶችዬ። 
26:34:00,masarat jema,ይሄም የገብረ ክርስቶስ ደስታ በጣም ልዩ ግጥም ነው ፣ ግዜ ስታገኚ እይው፡፡
26:41:00,Kukusha Teshome,መንበረ አክሊሉ በጣም ጀግኒት ነሽ። እግዚያብሄር እድሜና ጤና አብዝቶ ይስጥሽ።
26:42:00,eli eli,የተሻለ ሃሳብ ይዞ የሚመጣ ካለ ለመማር ዝግጁ ነን ለመማር መዘጋጀት አጅግ በጣም ጥሩ ፀጋና አሸናፊነት ነው!
26:54:00,Feyisa Nigussie,አረ ከፈጣሪ ጋር አብዝተን እንጠቀቅ፡፡
